call_strike,bopm_call_ivol,bopm_call_hvol
236,31.16038573092718,31.365679636703014
237,30.32845637446129,30.539972802347265
238,29.492373050825442,29.714265967991533
239,28.659744560437822,28.8885591336358
241,26.99728738087769,27.279080539505667
242,26.163638968832327,26.511260454021052
243,25.32580629243787,25.74344036853645
244,24.548205765574387,24.975620283051835
246,22.99050977651186,23.445893926710664
247,22.222151210779405,22.745796346806166
248,21.42240755633008,22.045698766901687
249,20.63553949206255,21.345601186997186
