put_strike,bopm_put_ivol,bopm_put_hvol
236,3.1476086445960716,1.9922237341088642
237,3.283507010913776,2.160001173763665
238,3.4424141325374196,2.3280603033946594
239,3.6046916510351235,2.4966935581829928
241,3.9209014899580907,2.8797615322464174
242,4.082565568626005,3.1058793144039107
243,4.247997336087509,3.3322603919736378
244,4.407898535407548,3.5593297791882286
246,4.82331764997528,4.025950770170637
247,5.044520013848061,4.320301149393625
248,5.252630107826257,4.615049040107891
249,5.465155288325566,4.910255675222179
251,5.8927770458299005,5.504536131636815
252,6.158324036298371,5.830739747179978
253,6.426164932964184,6.202043477613564
254,6.708009575933332,6.573907131490712
256,7.257812902569375,7.320657256789897
257,7.536659929820934,7.697136315170695
258,7.836217191872293,8.110727214740349
259,8.181908849755162,8.564748290782187
283,21.064548660360852,22.920991853970406
284,21.86238044326274,23.69679007257323
286,23.536201077016386,25.254479042657607
287,24.388680150272513,26.03775414087288
288,25.256497179435872,26.82449977026806
289,26.143030831840118,27.617102499027702
292,28.941734709263955,30.129781972689326
293,29.871750785690175,30.97540243972456
294,30.828981258827916,31.82473290889511
