put_strike,put_last_price,put_bid,put_ask,put_vol
236,3.97,3.72,3.79,0.2586
237,4.13,3.87,3.94,0.2565
238,4.05,4.03,4.1,0.2545
239,4.17,4.2,4.27,0.2526
241,4.84,4.55,4.62,0.2486
242,4.69,4.74,4.81,0.2467
243,5.07,4.92,5.01,0.2449
244,5.44,5.13,5.21,0.2429
246,5.87,5.54,5.63,0.2388
247,6.05,5.76,5.86,0.237
248,6.02,5.99,6.09,0.2349
249,6.22,6.23,6.33,0.2329
251,6.73,6.74,6.84,0.2289
252,6.65,7.01,7.11,0.2269
253,7.36,7.28,7.38,0.2247
254,7.61,7.57,7.67,0.2228
256,8.1,8.17,8.28,0.2187
257,8.57,8.49,8.6,0.2167
258,8.77,8.82,8.93,0.2146
259,9.2,9.16,9.27,0.2125
283,20.33,21.64,22.42,0.1744
284,20.52,22.41,23.21,0.1741
286,24.56,24.01,24.84,0.1738
287,23.42,24.84,25.68,0.1739
288,26.39,25.69,26.54,0.1743
289,25.09,26.55,27.42,0.1751
292,30.06,29.26,30.16,0.1795
293,16.37,30.19,31.07,0.1806
294,22.22,31.14,32.02,0.1828
360,86.69,96.82,97.76,0.375
